Ex-Div. Date,Amount,Type,Yield,Change,Decl. Date,Rec. Date,Pay. Date,Details,Market Cap,Cash on Hand,Net Income,Free Cash Flow,Equity
3/31/2015,$0.21,Quarter,3.10%,+10.5%,2/11/2015,4/2/2015,4/22/2015,Details,150.29B,"$54,419","$2,437",11.32B,CSCO
1/2/2015,$0.19,Quarter,2.80%,N/A,12/17/2014,1/6/2015,1/21/2015,Details,150.23B,"$53,022","$2,397",10.79B,CSCO
9/30/2014,$0.19,Quarter,3%,N/A,8/27/2014,10/2/2014,10/22/2014,Details,134.59B,"$52,107","$1,828",10.94B,CSCO
7/2/2014,$0.19,Quarter,3%,N/A,6/23/2014,7/7/2014,7/23/2014,Details,127.02B,"$52,074","$2,247",10.93B,CSCO
4/1/2014,$0.19,Quarter,3.30%,+11.8%,2/12/2014,4/3/2014,4/23/2014,Details,124.84B,"$50,469","$2,181",11.06B,CSCO
1/2/2014,$0.17,Quarter,3.10%,N/A,12/17/2013,1/6/2014,1/22/2014,Details,116.21B,"$47,065","$1,429",11.44B,CSCO
10/1/2013,$0.17,Quarter,2.90%,N/A,9/3/2013,10/3/2013,10/23/2013,Details,115.17B,"$48,201","$1,996",11.42B,CSCO
7/1/2013,$0.17,Quarter,2.80%,N/A,6/4/2013,7/3/2013,7/24/2013,Details,127.44B,"$50,610","$2,270",11.87B,CSCO
4/4/2013,$0.17,Quarter,3.20%,+21.4%,3/28/2013,4/8/2013,4/24/2013,Details,127.68B,"$47,388","$2,478",11.73B,CSCO
11/27/2012,$0.14,Quarter,3%,N/A,11/15/2012,11/29/2012,12/19/2012,Details,111.92B,"$46,376","$3,143",10.86B,CSCO
10/2/2012,$0.14,Quarter,3%,+75%,8/15/2012,10/4/2012,10/24/2012,,95.25B,"$45,000","$2,092",10.74B,CSCO
7/2/2012,$0.08,Quarter,1.90%,N/A,6/14/2012,7/5/2012,7/25/2012,Details,99.98B,"$48,716","$1,917",10.50B,CSCO
4/3/2012,$0.08,Quarter,1.50%,+33.3%,2/8/2012,4/5/2012,4/25/2012,Details,88.23B,"$48,412","$2,165",10.36B,CSCO
1/3/2012,$0.06,Quarter,0.50%,N/A,12/15/2011,1/5/2012,1/25/2012,Details,108.10B,"$46,742","$2,182",10.15B,CSCO
10/4/2011,$0.06,Quarter,0.50%,N/A,9/20/2011,10/6/2011,10/26/2011,,102.79B,"$44,388","$1,777",10.17B,CSCO
